"break_size","strategy","horizon","rmse","mae"
"small","full","h1",0.87547650484369,0.711207441265976
"small","full","h1",1.21865912946172,0.973320519832313
"small","full","h1",1.15275634638509,0.92845593753008
"small","full","h1",1.2776038057086,1.00752865838946
"small","full","h1",1.89612829799591,1.54565215001792
"small","full","h1",1.38096966233849,1.12503782818742
"small","full","h1",0.934577226668181,0.72140762708039
"small","full","h1",1.23213576401163,1.00505115075969
"small","full","h1",1.12193889237426,0.887443364602313
"small","full","h1",1.29546157441656,1.05771597442872
"small","full","h1",1.93073684861634,1.61161325470625
"small","full","h1",1.46933035126241,1.24748394722268
"small","full","h1",1.43804206673346,1.19431924501955
"small","full","h1",1.06867850695979,0.849957308518016
"small","full","h1",1.53361130992851,1.23407870442376
"small","full","h1",1.05427165613121,0.865467252519047
"small","full","h1",1.2618541079803,0.980409937889272
"small","full","h1",1.31581905732407,1.08055540209992
"small","full","h1",1.12806808443649,0.897928149643762
"small","full","h1",1.00613237948417,0.823023632290905
"small","full","h1",1.5155580529277,1.23721952607494
"small","full","h1",2.08354484334687,1.77415788806524
"small","full","h1",1.2798703679532,1.05971233194114
"small","full","h1",1.2734769466871,1.02411576839972
"small","full","h1",1.11455865514913,0.905692503395393
"small","full","h1",1.32264126090716,1.10953398475368
"small","full","h1",1.34923481048719,0.982293667698053
"small","full","h1",1.43505850278913,1.1185554306361
"small","full","h1",1.12449861688363,0.95323317295721
"small","full","h1",1.26203975191485,1.02051111374579
"small","full","h1",1.02243813632728,0.825635628971657
"small","full","h1",1.3860380672485,1.06588768273285
"small","full","h1",1.27638687103382,0.975082174391658
"small","full","h1",1.25756931441349,1.00847396955009
"small","full","h1",1.24296119930284,0.949009599160122
"small","full","h1",1.52465606431393,1.12893154665464
"small","full","h1",1.36792335734476,1.16986776186041
"small","full","h1",1.15443257593308,0.87865391846737
"small","full","h1",1.0028296154964,0.815772971007095
"small","full","h1",1.22403840742385,1.01176310200286
"small","full","h1",1.22696936123424,0.968251698900251
"small","full","h1",1.08568915986782,0.876330030583643
"small","full","h1",1.48367125112158,1.27847843993124
"small","full","h1",1.67656648232235,1.34856895315993
"small","full","h1",1.85222298756408,1.60761599832147
"small","full","h1",1.00972647678451,0.777283097412605
"small","full","h1",0.999952840551901,0.771471597123841
"small","full","h1",1.02585739415304,0.83770198568364
"small","full","h1",1.81410551859801,1.48752908488731
"small","full","h1",1.28553332414636,1.02669892699183
"small","full","h1",1.67007969378181,1.39296229369978
"small","full","h1",1.30945624150183,1.11425829217561
"small","full","h1",1.10438947389143,0.885570119405277
"small","full","h1",1.20937619420832,1.00502562658368
"small","full","h1",1.13316934849634,0.916933529266786
"small","full","h1",1.32095624863939,1.07474344356839
"small","full","h1",1.01859343347616,0.760806069444236
"small","full","h1",1.16137918498166,0.88964134135877
"small","full","h1",1.42281606627455,1.20027114370531
"small","full","h1",1.24826130603784,0.993740840875302
"small","full","h1",1.1621722880374,0.871445878916081
"small","full","h1",1.26745871261198,1.06141259212885
"small","full","h1",1.29967801543819,1.07690895433448
"small","full","h1",1.12467755833787,0.917594302650463
"small","full","h1",1.47169374636708,1.2525567844339
"small","full","h1",1.50951773617722,1.27378149368996
"small","full","h1",1.42534904845571,1.25616424660888
"small","full","h1",1.00960957373513,0.779746727141105
"small","full","h1",1.21023600384373,0.96308303934702
"small","full","h1",1.23676002617624,1.00699725998252
"small","full","h1",1.04549981264012,0.844458447752712
"small","full","h1",1.61363266019695,1.36578848716318
"small","full","h1",0.933490686124084,0.710191067904357
"small","full","h1",1.1818309345528,0.958368911802296
"small","full","h1",1.15492206437592,0.947246166718529
"small","full","h1",1.11563503998344,0.853851481796546
"small","full","h1",1.72799398942182,1.46268152046764
"small","full","h1",1.27271145007898,1.03090115466931
"small","full","h1",1.07740798248292,0.836456312203629
"small","full","h1",1.21062425518779,0.913504403327008
"small","full","h1",1.37541050641139,1.17013054845581
"small","full","h1",0.950566861457056,0.72755104942638
"small","full","h1",1.21672869305915,0.993002622009729
"small","full","h1",1.13795703149517,0.959215114890911
"small","full","h1",1.35741449839681,1.07608497488422
"small","full","h1",1.2057666806807,0.962396116296653
"small","full","h1",1.32389965110173,1.08022531081604
"small","full","h1",1.17661161961941,0.934357372485606
"small","full","h1",1.25581137018038,0.966410021074693
"small","full","h1",1.28401039237878,1.0127228334528
"small","full","h1",1.29414222567384,0.998657219499759
"small","full","h1",1.61266986935136,1.33768914666492
"small","full","h1",1.08941195488739,0.882336571907405
"small","full","h1",1.34685556070274,1.10417859735232
"small","full","h1",1.09894085577864,0.854374110675829
"small","full","h1",1.38376094794121,1.17234114644465
"small","full","h1",1.00881818974733,0.822788250921852
"small","full","h1",1.18665665697006,1.04040346813892
"small","full","h1",1.75746433722896,1.5604483362928
"small","full","h1",0.927297406565938,0.736530737770285
"small","full","h1",1.74517476687986,1.4538747959352
"small","full","h1",1.90266262806444,1.59345356575174
"small","full","h1",1.24605981232015,0.998600258740188
"small","full","h1",1.50830640705689,1.13753058428863
"small","full","h1",1.35242658581766,1.04838526876713
"small","full","h1",1.33116184894976,1.07091284743389
"small","full","h1",1.12254341348729,0.941745382216726
"small","full","h1",1.1391640556007,0.919700938388389
"small","full","h1",1.1027663657211,0.858541212450525
"small","full","h1",1.94895912989195,1.66404424309109
"small","full","h1",1.13531288770377,0.950322851825095
"small","full","h1",1.18704977807973,0.97874368234264
"small","full","h1",0.945072023756823,0.79760008331143
"small","full","h1",1.3167091134031,1.02910900650379
"small","full","h1",0.978058724186618,0.813692764237838
"small","full","h1",1.33596879240228,1.02865067797862
"small","full","h1",1.13527039086864,0.906337363725948
"small","full","h1",1.44776807194053,1.1407265751583
"small","full","h1",1.31783138914232,1.04426110872874
"small","full","h1",0.99329129256905,0.826713654364299
"small","full","h1",1.39962841995754,1.12694747171856
"small","full","h1",1.3472787849704,1.1002660360505
"small","full","h1",1.06797518386604,0.847589639910846
"small","full","h1",1.47096805750415,1.18220513736499
"small","full","h1",1.4712015158942,1.24826320197656
"small","full","h1",1.52002129738056,1.2426542879975
"small","full","h1",1.08366082062429,0.795888710234997
"small","full","h1",1.10168265648862,0.861415602160345
"small","full","h1",1.31932520610279,1.05709989275983
"small","full","h1",1.21403734176548,1.02568405954092
"small","full","h1",1.28354780171196,1.06433524455375
"small","full","h1",1.22966358686428,0.964738521791506
"small","full","h1",1.5315089227566,1.14607928914085
"small","full","h1",1.32317875733533,1.10840800567137
"small","full","h1",1.69528836890212,1.40234299242512
"small","full","h1",1.31256527940562,1.09528099282772
"small","full","h1",1.09663716320226,0.826596118849375
"small","full","h1",1.42279545237872,1.08009417159496
"small","full","h1",1.40577897261486,1.20309605565835
"small","full","h1",1.44507077724311,1.17714675723609
"small","full","h1",1.29926518809225,1.02145427203612
"small","full","h1",1.62548810053701,1.37409574617502
"small","full","h1",1.46847158960214,1.14653661854871
"small","full","h1",1.24342490501276,0.956565392134391
"small","full","h1",1.30718890321923,0.995953806238781
"small","full","h1",1.13484213820423,0.91007587523005
"small","full","h1",1.42187200994551,1.12976690628843
"small","full","h1",1.27908738994254,1.03516049244175
"small","full","h1",1.05871704840091,0.856026739426107
"small","full","h1",1.35775130848879,1.09899625041727
"small","full","h1",1.49173331462304,1.19189889674224
"small","full","h1",1.11159912743624,0.91966858139543
"small","full","h1",0.9764490898416,0.767106695934718
"small","full","h1",1.28363842326545,1.03904161788677
"small","full","h1",1.3863095148086,1.14145079193673
"small","full","h1",1.31174881074777,1.05611978406257
"small","full","h1",1.66909809156307,1.43040766373631
"small","full","h1",1.07447231718106,0.886236064813117
"small","full","h1",1.21612703787565,1.01546506070859
"small","full","h1",1.35428423850966,1.1392169368702
"small","full","h1",1.23775514611467,1.02088265056655
"small","full","h1",0.949752566563405,0.820551085163385
"small","full","h1",0.95249644767155,0.707694322415829
"small","full","h1",1.41125243933146,1.12524981197328
"small","full","h1",0.958999593164003,0.754036289643267
"small","full","h1",1.16043744519389,0.943081171898003
"small","full","h1",1.39647723835626,1.19870591867189
"small","full","h1",1.165881401787,0.95711879231336
"small","full","h1",1.18824979615758,0.904896439785208
"small","full","h1",1.32562016899559,1.11801056361044
"small","full","h1",1.67478416019543,1.3784531675118
"small","full","h1",1.30398288596622,1.06537461719133
"small","full","h1",1.51590808518695,1.21235420460201
"small","full","h1",1.0387138870282,0.862376743041444
"small","full","h1",1.3204239818711,1.1137261582681
"small","full","h1",1.43513330452652,1.19666523577671
"small","full","h1",1.24220182079091,0.962069913908641
"small","full","h1",1.87726727287858,1.64661041080488
"small","full","h1",1.09999773005815,0.891248025721802
"small","full","h1",1.36052098073643,1.05879910200056
"small","full","h1",1.39101130768216,1.09145427955432
"small","full","h1",1.22623036284057,0.913663433868976
"small","full","h1",1.04676850189008,0.892002323136445
"small","full","h1",1.57415266687099,1.2378068504014
"small","full","h1",1.01066228093622,0.826037117211497
"small","full","h1",1.4840714319147,1.22736457537939
"small","full","h1",1.135530357404,0.951914060106596
"small","full","h1",1.14039403148424,0.972457131613166
"small","full","h1",1.18602412229961,0.884895823525024
"small","full","h1",1.35707183210511,1.08229980584768
"small","full","h1",1.59321102168063,1.28663977601624
"small","full","h1",1.2150557663678,0.966383747046087
"small","full","h1",1.16358143317358,0.943387295234693
"small","full","h1",1.18842686420885,0.944093029433358
"small","full","h1",1.65664132433354,1.30189309497747
"small","full","h1",1.09822547188342,0.906700882652698
"small","full","h1",1.11962761738021,0.964510921201179
"small","full","h1",1.76370503078452,1.45817890504447
"small","full","h1",1.18172484551089,0.935369815457376
"small","full","h1",1.04776781241844,0.873245362148498
"small","full","h1",1.23026607069025,0.994917055802443
"small","full","h1",1.05851585156371,0.8803332647468
"small","full","h1",1.16359459389789,0.968872881653867
"small","full","h1",1.18726898778259,0.971728215059187
"small","full","h1",1.27064362605579,1.08149656236178
"small","full","h1",1.27229175554264,1.00806244403567
"small","full","h1",1.38966513811175,1.14760967569297
"small","full","h1",0.939473070910035,0.776336655458652
"small","full","h1",1.63794292524427,1.40992262172925
"small","full","h1",1.27998360438747,1.00123576144036
"small","full","h1",1.21203395185156,0.912124170810558
"small","full","h1",1.06764797107291,0.844375593466166
"small","full","h1",1.45371014850378,1.19576481026933
"small","full","h1",1.04115805438069,0.819898688776797
"small","full","h1",1.17728462588354,0.943213282161493
"small","full","h1",1.34894583911564,1.09359877644676
"small","full","h1",0.976870103186892,0.794191786610708
"small","full","h1",1.35738990802142,1.15221861114681
"small","full","h1",1.45865052679389,1.19519897412726
"small","full","h1",1.08926235307327,0.89706561485576
"small","full","h1",1.37229787506809,1.12919128090726
"small","full","h1",1.38596397265507,1.06117406241595
"small","full","h1",1.37028655256938,1.17631493810625
"small","full","h1",0.995807618663831,0.838908142847947
"small","full","h1",1.65112321561932,1.38326755700436
"small","full","h1",1.25721245940084,1.01277247459152
"small","full","h1",0.919564350479086,0.741623616548397
"small","full","h1",1.55904996646229,1.30931522452284
"small","full","h1",1.33616931232951,1.05800169981183
"small","full","h1",1.26877819975483,1.00754011287838
"small","full","h1",1.62804570625589,1.38710832922767
"small","full","h1",0.941202002540008,0.740142908706647
"small","full","h1",1.02060496102328,0.777911589832944
"small","full","h1",0.943351644942272,0.757016598109203
"small","full","h1",1.09813846780199,0.920831994876672
"small","full","h1",1.40605079693766,1.19211069100182
"small","full","h1",1.64451214886078,1.40153597286473
"small","full","h1",1.1963137298516,0.988846775488673
"small","full","h1",0.87295612834639,0.678156734370667
"small","full","h1",1.40774713065197,1.07523715926028
"small","full","h1",1.35155406211137,1.08017035418975
"small","full","h1",1.33519375224188,1.04427954804924
"small","full","h1",1.31591532859337,1.11269049226596
"small","full","h1",1.24546132939896,1.02864396545986
"small","full","h1",1.33456097156508,1.05460187502027
"small","full","h1",1.39294766855979,1.09208282974129
"small","full","h1",1.06158462808669,0.879419878746639
"small","full","h1",1.0795358677258,0.861498660796818
"small","full","h1",1.40038083790255,1.14261650369139
"small","full","h1",1.79969204218016,1.50353483930256
